Si2
Seed,42
UCB
14.486006736755371,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-9.333800315856934,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.287212371826172,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879,-10.971329689025879
Seed,43
UCB
-4.479510307312012,-4.479510307312012,-4.479510307312012,-4.479510307312012,-4.479510307312012,-4.479510307312012,-5.90346622467041,-9.01395320892334,-9.01395320892334,-9.01395320892334,-9.817632675170898,-9.817632675170898,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.23952579498291,-10.41528034210205,-10.41528034210205,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.438098907470703,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023,-10.444128036499023
Seed,44
UCB
-9.071125030517578,-9.071125030517578,-9.071125030517578,-9.071125030517578,-9.071125030517578,-9.071125030517578,-9.071125030517578,-9.071125030517578,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.365201950073242,-9.940908432006836,-9.940908432006836,-9.940908432006836,-9.940908432006836,-9.940908432006836,-9.940908432006836,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.097750663757324,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414,-10.268136978149414
Seed,45
