Si2
Seed,42
True energy
-11.780633926391602
Prior
14.486006736755371,0.09664726257324219,-5.91743278503418,-5.91743278503418,-7.463388442993164,-7.463388442993164,-7.463388442993164,-7.463388442993164,-8.962413787841797,-10.014022827148438,-10.014022827148438,-10.014022827148438,-10.014022827148438,-10.014022827148438,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.566720962524414,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.610097885131836,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791,-10.61135196685791
Seed,43
Prior
-4.479510307312012,-4.479510307312012,-4.479510307312012,-4.479510307312012,-9.06265640258789,-9.06265640258789,-9.349438667297363,-10.401216506958008,-10.401216506958008,-10.401216506958008,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688,-11.684494018554688
Seed,44
Prior
