SI2
Seed 42
BO
14.486006736755371,-3.9670610427856445,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.27433967590332,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594,-10.423851013183594
Seed 43
BO
-4.479510307312012,-4.479510307312012,-4.479510307312012,-4.582418441772461,-9.489960670471191,-10.421209335327148,-10.421209335327148,-10.421209335327148,-10.421209335327148,-10.421209335327148,-10.421209335327148,-10.421209335327148,-10.421209335327148,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.453512191772461,-10.476903915405273,-10.476903915405273,-10.476903915405273,-10.476903915405273,-10.476903915405273,-10.476903915405273,-10.910395622253418,-10.910395622253418,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.447090148925781,-11.673001289367676,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875,-11.731903076171875
Seed 44
BO
-9.071125030517578,-9.071125030517578,-9.284891128540039,-9.284891128540039,-9.284891128540039,-9.284891128540039,-9.284891128540039,-9.284891128540039,-9.284891128540039,-9.48176383972168,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.248993873596191,-10.259992599487305,-10.259992599487305,-10.259992599487305,-10.259992599487305,-10.259992599487305,-10.259992599487305,-10.259992599487305,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793,-10.476649284362793
Seed,45
