SIO2
Seed 42
True energy
-11.880929957301586
BFGS
14.447986855437874,-5.868314371532605,-8.825158716887804,-10.84794539661912,-11.62545912774625,-11.86303535865107,-11.87692638434619,-11.878734001761542,-11.880324329128442,-11.880439109873942,-11.880441662504492,-11.880442404804297
BO
-5.868314371532605,-6.268314285862505,-6.268314285862505,-6.268314285862505,-6.268314285862505,-8.325158716887804,-8.325158716887804,-10.84794539661912,-10.84794539661912,-10.84794539661912,-10.84794539661912,-10.84794539661912,-10.84794539661912,-10.84794539661912,-10.84794539661912,-10.92935789085799
Seed 43
